territoryId,catalogItemId,territory_encoded,item_encoded,dayofyear,forecast_date,forecastedQty
Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),0,0,105,2025-04-15,6.874794821757453
Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),0,0,106,2025-04-16,6.874794821757453
Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),0,0,107,2025-04-17,6.874794821757453
Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),0,0,108,2025-04-18,6.874794821757453
Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),0,0,109,2025-04-19,6.874794821757453
Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),0,0,110,2025-04-20,6.874794821757453
Abuja-Bwari,Abuja-BwariPeak Milk Filled Powder Sachet 12g CARTON (210.0 PC),0,0,111,2025-04-21,6.874794821757453
Abuja-Bwari,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),0,1,105,2025-04-15,6.874794821757453
Abuja-Bwari,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),0,1,106,2025-04-16,6.874794821757453
Abuja-Bwari,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),0,1,107,2025-04-17,6.874794821757453
Abuja-Bwari,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),0,1,108,2025-04-18,6.874794821757453
Abuja-Bwari,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),0,1,109,2025-04-19,6.874794821757453
Abuja-Bwari,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),0,1,110,2025-04-20,6.874794821757453
Abuja-Bwari,EmbuMt. Kenya Milk ESL 500ML CARTON (1.0 Item),0,1,111,2025-04-21,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),0,2,105,2025-04-15,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),0,2,106,2025-04-16,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),0,2,107,2025-04-17,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),0,2,108,2025-04-18,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),0,2,109,2025-04-19,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),0,2,110,2025-04-20,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 10L JERICAN (1.0 PC),0,2,111,2025-04-21,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),0,3,105,2025-04-15,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),0,3,106,2025-04-16,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),0,3,107,2025-04-17,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),0,3,108,2025-04-18,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),0,3,109,2025-04-19,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),0,3,110,2025-04-20,6.874794821757453
Abuja-Bwari,EmbuPostman Cooking Oil 20L JERICAN (1.0 Item),0,3,111,2025-04-21,6.874794821757453
Abuja-Bwari,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),0,4,105,2025-04-15,6.874794821757453
Abuja-Bwari,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),0,4,106,2025-04-16,6.874794821757453
Abuja-Bwari,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),0,4,107,2025-04-17,6.874794821757453
Abuja-Bwari,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),0,4,108,2025-04-18,6.874794821757453
Abuja-Bwari,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),0,4,109,2025-04-19,6.874794821757453
Abuja-Bwari,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),0,4,110,2025-04-20,6.874794821757453
Abuja-Bwari,Ibadan-BodijaDano Milk Cool Cow 12g + Extra 10 Sachet HALF CARTON (135.0 PC),0,4,111,2025-04-21,6.874794821757453
